pitcher_id,pitcher_name,year,pitches,games,tj_stuff_plus,pitches_per_game,position,pitch_type,mean,std,median,min,max,percentile_1,percentile_99,pitch_grade
518585,Fernando Cruz,2024,1129,69,100.5088516808245,16.36231884057971,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,51.15874474318342
687424,Anthony Maldonado,2024,292,16,100.13716520543127,18.25,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,50.417889872508276
663372,Ryan Feltner,2024,2531,30,95.21326237648017,84.36666666666666,SP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,40.60344238770228
672851,Joan Adon,2024,174,8,94.70973175292113,21.75,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,39.59979243083167
663765,Jake Woodford,2024,542,8,92.90059221668261,67.75,SP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,35.9937698126149
656232,Brandon Bielak,2024,499,16,92.56709899644065,31.1875,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,35.32904270277857
672335,Cionel Pérez,2024,848,62,97.85676106699768,13.67741935483871,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,45.872530746166944
528748,Humberto Castellanos,2024,184,7,90.88888991158505,26.285714285714285,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,31.9839939672518
571760,Andrew Heaney,2024,2697,32,98.51200934549638,84.28125,SP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,47.178588164892446
656848,Michael Petersen,2024,360,16,105.39281434544228,22.5,RP,All,99.9275100894791,5.01699442232884,99.65265124489378,84.73033633038408,116.94934527087541,86.65905811630736,116.7610246502804,60.89358248364613
