"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Roe, Chaz","475054","2020","39",23.1,7.7,".335",".298",46.2,0,26.9,"76.75673","91.859412692",22.1,42.8
"Phelps, David","475479","2020","85",36.5,5.9,".341",".323",35.4,14.6,37.5,"71.617327917","93.250015208",26.4,44.5
"Betances, Dellin","476454","2020","59",18.6,20.3,".352",".354",41.2,0,17.6,"71.258995294","90.919969118",21.4,34.9
"Stock, Robert","476594","2020","62",22.6,16.1,".369",".333",39.5,5.3,44.7,"83.805598421","95.089548378",25.5,41.9
"Kershaw, Clayton","477132","2020","221",28.1,3.6,".251",".271",29.3,8,34,"76.446133784","93.625258243",27.6,49.8
"Buchter, Ryan","488748","2020","29",27.6,20.7,".385",".420",40,13.3,53.3,"84.737415","95.133664",25.5,44.7
"Hunter, Tommy","488984","2020","102",24.5,5.9,".305",".353",35.3,8.8,45.6,"79.266354375","95.271494531",25.4,45.1
"Miley, Wade","489119","2020","67",17.9,13.4,".356",".356",36.4,2.3,22.7,"71.154270909","91.835499545",30.5,41.4
"Romo, Sergio","489265","2020","87",26.4,8,".294",".304",40.7,5.6,33.3,"76.440703704","92.344844259",28.6,44.2
"Stammen, Craig","489334","2020","105",19,3.8,".308",".282",25.3,2.5,36.7,"77.659013514","93.493176622",24,45.4
"Yates, Kirby","489446","2020","25",32,16,".403",".348",38.5,7.7,30.8,"74.801597143","93.395334615",41.3,45.5
"Valdez, César","491624","2020","53",22.6,5.7,".182",".270",26.3,2.6,31.6,"79.105592105","93.961381579",30.3,46.6
"Ottavino, Adam","493603","2020","85",29.4,10.6,".337",".298",26,6,50,"79.9212244","94.9202352",26.5,40.1
"Guerra, Deolis","500610","2020","36",22.2,5.6,".426",".343",25,16.7,45.8,"68.657074167","95.571964583",33.3,50.8
"Quintana, Jose","500779","2020","41",29.3,7.3,".319",".301",42.3,7.7,50,"84.597773846","97.057103846",27.6,41.5
"Pineda, Michael","501381","2020","111",22.5,6.3,".269",".283",30.8,7.7,32.1,"74.187977105","92.929706974",29,53
"Avilán, Luis","501593","2020","39",23.1,12.8,".359",".366",32,8,24,"78.59357","92.4646048",31.8,40.7
"Alvarez, Jose","501625","2020","27",22.2,11.1,".333",".350",27.8,5.6,38.9,"73.974732222","93.733305294",25,49.6
"Harris, Will","501789","2020","84",25,10.7,".347",".347",35.2,9.3,46.3,"80.212095769","95.6571525",28.9,49.6
"Minor, Mike","501985","2020","239",25.9,8.4,".307",".317",36.5,10.3,40.4,"75.572587564","93.83100891",27,46.6
"Jeffress, Jeremy","502026","2020","88",19.3,13.6,".223",".328",29.8,3.5,45.6,"79.635065517","94.47807",24.4,38.5
"Gibson, Kyle","502043","2020","301",19.3,10,".356",".360",33.3,7.2,39.6,"76.836915825","93.881787171",23.3,41.5
"Britton, Zack","502154","2020","76",21.1,9.2,".222",".249",20.8,3.8,32.1,"77.814251538","92.624901569",25.2,45.3
"Cobb, Alex","502171","2020","226",16.8,8,".320",".376",33.9,9.5,48.2,"80.598450476","95.660059042",23.5,44.2
"Espino, Paolo","502179","2020","27",25.9,7.4,".367",".437",50,16.7,33.3,"76.23079","93.369210556",27.5,46.4
"Samardzija, Jeff","502188","2020","77",7.8,5.2,".409",".377",33.8,10.8,33.8,"79.686087813","93.521385469",13.4,45
"Boxberger, Brad","502202","2020","79",22.8,10.1,".325",".344",32.7,7.7,38.5,"78.447217692","93.719464118",24.2,44
"Cahill, Trevor","502239","2020","105",29.5,12.4,".282",".313",33.9,10.2,35.6,"76.032575862","93.62193193",28.4,38.6
"Anderson, Chase","502624","2020","154",24.7,6.5,".412",".381",42.9,16.2,38.1,"75.066188269","94.515817087",28,46
"Holland, Derek","502706","2020","179",25.1,8.4,".369",".383",35.3,14.7,48.3,"82.522439474","96.003809561",26.5,43
"Peacock, Brad","502748","2020","12",25,8.3,".369",".364",42.9,0,57.1,"83.005325","94.121642857",22.7,37.3
"O'Day, Darren","503285","2020","67",32.8,7.5,".212",".253",35.1,2.7,21.6,"72.799139474","91.74131",31.7,46
"Dolis, Rafael","503569","2020","100",31,14,".277",".281",24.1,7.4,27.8,"74.3987128","92.382584694",30.1,41.8
"Nicasio, Juan","504379","2020","11",9.1,18.2,".693",".532",50,12.5,25,"63.567445","93.929",17.6,37
"Darvish, Yu","506433","2020","297",31.3,4.7,".250",".269",36.9,6.4,34.2,"78.651437283","93.49421",31.9,49.7
"Herrera, Kelvin","516969","2020","11",27.3,9.1,".504",".394",57.1,14.3,42.9,"84.38226","94.91981",37.5,43.2
"Colomé, Alex","517008","2020","90",17.8,8.9,".216",".268",29.7,3.1,32.8,"76.230311563","93.619203016",30.9,52.2
"Alexander Jr., Scott","518397","2020","52",17.3,17.3,".315",".348",20.6,5.9,41.2,"81.478687059","94.668905455",23.2,47
"Brasier, Ryan","518489","2020","110",27.3,10,".301",".313",44.9,7.2,44.9,"81.462649143","95.098431304",34.1,53.3
"Bumgarner, Madison","518516","2020","190",15.8,6.8,".383",".409",37.6,14.9,40.4,"78.889719296","94.348475532",17.4,49.4
"Cishek, Steve","518553","2020","93",22.6,9.7,".365",".365",37.3,11.9,40.7,"77.869717931","94.538793793",27,40.6
"Diekman, Jake","518617","2020","84",36.9,14.3,".202",".240",20,7.5,42.5,"71.800423158","94.221457368",40.8,44.4
